time, temperature, dwpf, humidity, direction, speed, precipitation, pressure,total count,arrest rate,sex offense,theft,assault and battery,burglary,robbery,substance,homicide,gambling,prostitution,arson,domestic violence,others
2/15/01,32.04166667,26.16666667,78.76791667,129.3939394,4.818181818,0,29.40708333,1,2,1,1,1,2,1,2,2,1,2,1,1,2
2/16/01,22.58333333,11.5,62.55041667,313.8461538,12.61538462,0,29.61208333,1,2,1,1,1,2,1,2,1,1,1,1,1,1
2/17/01,14.20833333,0,53.5625,293.3333333,10.54166667,0,29.86916667,1,2,2,1,1,2,1,1,1,1,1,2,1,1
2/18/01,25.29166667,10.875,54.93416667,222.0833333,11.66666667,0,29.62,1,2,1,1,1,2,2,1,1,2,2,1,1,1
2/19/01,37.58333333,28.58333333,70.42208333,260.8,10.2,0,29.33833333,1,2,2,1,1,2,1,2,1,1,1,2,1,1
2/20/01,26.83333333,10.41666667,50.3625,310.4166667,11.125,0,29.61916667,1,2,1,1,1,1,1,2,1,1,2,2,1,1
2/21/01,19.20833333,3.791666667,53.4925,120,6.777777778,0,29.75041667,1,2,2,1,1,1,1,2,1,2,1,1,1,1
2/22/01,25.58333333,19.5,77.4875,242,11.6,0,29.445,1,2,2,1,1,1,1,2,1,1,2,2,1,1
2/23/01,27.79166667,18.5,68.49625,135.1851852,9.296296296,0.03,29.64083333,1,2,2,1,1,2,1,2,2,1,1,1,1,1
2/24/01,44.625,41.29166667,88.35916667,155.3846154,14.53846154,0.07625,29.02125,1,1,1,1,1,2,2,2,2,1,1,1,1,1
2/25/01,31.54166667,23.25,71.22208333,271,19.6,0,29.34375,1,2,2,1,1,2,1,1,1,1,1,2,1,1
2/26/01,33.16666667,23,66.315,258.3333333,7.458333333,0,29.70958333,1,2,2,1,1,1,1,2,1,2,2,1,1,1
2/27/01,22.95833333,4.625,45.18666667,240,8.75,0,29.73958333,1,2,1,1,1,1,1,2,1,2,2,1,1,1
2/28/01,23.08333333,4.666666667,46.21416667,265.8333333,9.583333333,0,29.48291667,1,2,1,1,1,2,1,2,1,1,1,1,1,1
3/1/01,34,20.75,60.83333333,247.5,11.32142857,0,29.18041667,2,1,2,2,1,1,2,2,2,1,1,2,1,2
3/2/01,34.66666667,29.16666667,80.71833333,197.0833333,7.666666667,0,29.08791667,2,2,2,1,2,1,1,2,1,2,1,1,1,2
3/3/01,38.33333333,28.875,70.12791667,34.33333333,5.366666667,0,29.18583333,1,2,1,1,1,1,2,2,2,1,1,2,1,1
3/4/01,28.95833333,19.54166667,67.69583333,219.3548387,12.41935484,0,29.33625,1,2,2,1,1,2,2,1,2,1,1,1,1,1
3/5/01,25.08333333,9.791666667,52.33375,326.4,15.88,0,29.46125,1,2,2,2,1,2,1,2,1,2,1,2,1,1
3/6/01,28.875,17.83333333,63.25333333,314.5833333,8.875,0,29.50041667,1,2,2,1,1,2,1,2,1,2,2,2,1,1
3/7/01,34.91666667,20.33333333,57.12458333,277.6,10.8,0,29.36625,2,2,2,2,2,2,1,2,1,1,1,1,1,2
3/8/01,30.375,20.75,67.73333333,293.5714286,10.03571429,0,29.31166667,2,2,1,1,1,2,1,2,1,1,2,2,1,2
3/9/01,31.95833333,18.125,57.81,204.1666667,6.125,0,29.42625,2,2,2,2,2,1,2,2,1,1,2,2,1,2
3/10/01,40.75,27.16666667,61.06416667,242.9032258,11.12903226,0.0225,29.24125,1,1,2,2,2,2,1,2,2,2,1,2,1,1
3/11/01,34.66666667,24.54166667,66.7775,88.75,9.625,0,29.40166667,1,1,2,1,2,2,1,1,1,1,2,2,1,1
3/12/01,40.54166667,35.41666667,81.98083333,215.4347826,12.10869565,0.028333333,28.89333333,1,2,1,1,1,1,1,2,1,2,2,2,1,1
3/13/01,36.83333333,29.5,75.15208333,263.2142857,12.28571429,0,28.99541667,1,2,1,1,1,1,1,2,1,1,1,2,1,1
3/14/01,45.375,36.04166667,70.83041667,170.8333333,7.833333333,0.01,29.16541667,1,2,2,1,2,2,1,2,1,1,1,2,1,1
3/15/01,38.08333333,35.375,89.9325,47.5862069,15.48275862,0.0225,29.15208333,1,1,2,2,1,2,1,1,1,1,2,1,1,1
3/16/01,32.5,30.41666667,91.96541667,53.23529412,13.61764706,0.015,29.29666667,1,1,1,2,1,2,1,1,1,1,1,1,1,1
3/17/01,31.91666667,23.58333333,72.5225,206.4285714,8.035714286,0.04,29.64541667,1,1,2,1,1,2,1,1,1,1,1,2,1,1
3/18/01,36.04166667,22.70833333,60.03583333,79.58333333,3.75,0,29.77083333,1,2,1,1,2,2,1,1,1,1,1,2,1,1
3/19/01,39.54166667,22.25,51.45541667,83.75,6.625,0,29.68291667,2,2,1,1,2,1,1,2,1,2,1,2,1,1
3/20/01,40.58333333,24.54166667,54.51041667,101.6666667,6.625,0,29.54041667,2,2,2,1,2,1,1,2,1,1,2,2,1,2
3/21/01,42.95833333,26.54166667,57.10958333,169.1666667,8.583333333,0,29.46083333,2,2,1,1,2,1,1,2,2,1,2,1,1,2
3/22/01,46.625,31.91666667,58.70583333,273.0769231,7.230769231,0,29.39291667,2,2,2,1,2,1,1,2,1,2,2,1,1,2
3/23/01,40.08333333,26.125,58.11,262.5925926,11.33333333,0,29.38666667,2,1,1,2,2,1,2,2,2,1,2,1,1,2
3/24/01,27.25,11.95833333,53.175,296,12.28,0,29.53041667,1,2,2,1,1,2,2,2,2,1,1,1,1,2
3/25/01,20.875,7,55.77375,311.8918919,11.67567568,0,29.54125,1,1,1,1,1,2,1,1,2,1,2,1,1,2
3/26/01,29.16666667,12.91666667,51.25416667,292.0833333,7.375,0,29.56208333,1,2,1,1,1,2,1,2,2,1,1,1,1,1
3/27/01,32.54166667,19.04166667,58.07,149.1666667,5.75,0,29.61208333,2,2,1,2,2,1,2,2,1,1,1,2,1,2
3/28/01,41.95833333,24.04166667,53.37291667,175,7.923076923,0.01,29.39666667,1,2,1,1,2,2,1,1,2,1,1,2,1,2
3/29/01,41.125,32.79166667,72.77541667,102.8571429,6.464285714,0,29.34083333,1,2,1,1,2,1,1,1,1,2,2,1,1,2
3/30/01,43.66666667,30.83333333,61.67,61.25,7.833333333,0,29.25708333,2,2,1,1,1,2,2,2,1,1,2,1,1,2
3/31/01,42.625,33.70833333,71.78333333,240.3571429,10.07142857,0.015,29.11416667,1,2,1,1,2,2,2,2,1,1,1,2,1,1
4/1/01,41.39130435,23.13043478,49.31869565,242.6086957,8.47826087,0,29.24695652,2,1,1,2,1,2,1,1,2,1,2,2,1,2
4/2/01,46.54166667,28.66666667,52.22666667,112.5,8,0,29.31041667,1,1,1,2,1,1,1,1,1,1,2,2,1,2
4/3/01,41.375,32.375,70.50375,45.16129032,13.09677419,0,29.56041667,2,2,2,1,1,1,1,2,2,2,1,2,1,2
4/4/01,45.91666667,30.08333333,54.95208333,86.25,9.333333333,0,29.63375,2,2,1,1,1,2,1,2,1,2,1,1,1,2
4/5/01,56.79166667,42.70833333,63.78041667,161.3513514,7.648648649,0.091666667,29.32333333,1,1,2,1,2,1,1,1,1,2,1,2,1,1
4/6/01,53.16666667,50.45833333,90.65083333,118.9361702,7.170212766,0.05,29.1825,2,1,2,2,2,1,1,1,2,1,2,2,1,1
4/7/01,69.79166667,47.29166667,49.46583333,231.6666667,17.25,0,29.01791667,2,1,1,1,2,1,1,1,1,1,2,2,1,1
4/8/01,60.375,41.5,52.6725,167.1428571,9.928571429,0.23,29.16875,1,1,2,1,2,1,2,1,1,2,2,2,1,1
4/9/01,50.875,44.45833333,79.0225,73.2,9.76,0.04,29.17875,1,2,2,1,2,1,2,2,1,2,2,1,1,1
4/10/01,51.75,47.33333333,84.90208333,67.09677419,8.677419355,0,29.20708333,1,2,1,1,1,1,2,2,1,1,2,2,1,2
4/11/01,67.66666667,57.41666667,70.87875,186.6666667,13.7037037,0.075714286,28.90708333,1,2,2,1,2,1,1,1,2,1,1,2,1,2
4/12/01,50.08333333,39.04166667,66.28166667,253.7037037,17.74074074,0,29.16,2,2,1,1,2,1,1,2,2,1,2,1,1,2
4/13/01,49.54166667,36.29166667,61.04,129.5833333,5.291666667,0,29.42333333,1,2,2,2,1,2,1,2,2,2,1,1,1,2
4/14/01,56.08333333,33.625,45.63666667,153.0769231,8.692307692,0.0925,29.30375,2,2,2,1,2,2,2,2,2,1,2,2,1,1
4/15/01,46.79166667,37.04166667,69.69708333,176.5517241,9.724137931,0.066,29.2675,1,1,1,1,2,2,1,1,2,1,1,1,1,1
4/16/01,33.70833333,23.375,67.53791667,303.6111111,13.33333333,0,29.4,1,1,2,1,1,1,1,1,2,1,1,1,1,1
4/17/01,38.08333333,23.125,56.41708333,188,10,0,29.63083333,1,2,2,1,1,2,1,2,2,1,1,2,1,2
4/18/01,45.70833333,24.70833333,45.35625,199.1666667,6.333333333,0,29.51041667,1,2,2,1,1,2,1,2,2,2,1,2,1,2
4/19/01,59.70833333,37,46.46416667,187.5,11.95833333,0.064,29.29458333,1,2,2,1,2,1,1,2,2,2,1,2,1,1
4/20/01,67.5,56.58333333,69.33791667,207.5862069,12.96551724,0.042,29.15833333,2,1,2,2,2,1,2,1,2,1,2,1,1,2
4/21/01,69.45833333,58.375,68.73666667,220,13.07407407,0.135,29.28583333,2,1,2,1,2,2,1,1,2,1,2,2,1,2
4/22/01,67.16666667,56.08333333,68.81125,140,11.13793103,0.095,29.35083333,2,1,1,1,2,2,2,1,2,1,1,2,1,1
4/23/01,57.20833333,45.20833333,64.43291667,249.6296296,18.59259259,0.025,29.18833333,1,1,1,1,1,1,1,1,2,2,2,2,1,2
4/24/01,53,28.45833333,39.72166667,230,8.916666667,0,29.55791667,1,2,2,1,2,2,1,1,1,2,1,2,1,1
4/25/01,53.95833333,37.04166667,53.49375,203.75,7,0,29.56583333,1,2,2,1,2,1,1,1,2,1,1,2,1,1
4/26/01,65.41666667,42.45833333,44.79583333,192.9166667,12.5,0,29.40833333,2,1,2,1,2,2,1,1,1,1,2,2,1,2
4/27/01,54.95833333,29.95833333,39.92666667,53.75,9,0,29.58583333,2,1,1,2,2,1,2,1,2,2,2,2,1,2
4/28/01,56.70833333,34.95833333,44.72416667,117.5,7.958333333,0,29.72875,1,2,2,1,2,1,1,1,1,2,1,2,1,2
4/29/01,65.5,29.83333333,26.77083333,159.5833333,8.625,0,29.63958333,1,1,1,1,2,1,1,1,1,2,1,1,1,1
4/30/01,75.04166667,46.5,38.06708333,218.5185185,9.481481481,0,29.40166667,2,2,1,2,2,2,2,2,1,1,1,1,1,1
5/1/01,75.20833333,51.625,45.24375,208.3333333,13.70833333,0,29.23916667,2,1,2,2,2,2,1,2,2,1,1,1,1,2
5/2/01,74.58333333,51.95833333,46.13291667,210,11.375,0,29.32791667,2,2,2,1,2,2,1,2,2,2,2,2,1,2
5/3/01,72.91666667,51.41666667,51.49291667,146.5384615,9.038461538,0,29.45625,2,1,1,1,2,1,2,1,2,2,1,1,1,1
5/4/01,55.83333333,47.95833333,75.03458333,58.06451613,9.612903226,0,29.52,2,1,1,2,2,1,2,2,1,2,1,2,1,2
5/5/01,60.20833333,43.33333333,55.725,94.4,9.44,0.015,29.46833333,2,1,1,2,2,2,2,2,1,2,2,2,1,2
5/6/01,66.625,52.875,63.71666667,142.5925926,8.740740741,0.07,29.37666667,1,1,2,1,2,2,2,2,2,2,2,2,1,1
5/7/01,61.83333333,51.5,69.66458333,241.7241379,9.413793103,0.055,29.43791667,2,1,2,2,2,2,2,2,2,2,1,2,1,2
5/8/01,66,44.625,48.9825,238.3333333,11.20833333,0,29.46791667,2,2,1,2,2,2,1,2,1,1,1,2,1,2
5/9/01,72.5,43.58333333,36.85541667,212.3076923,10.80769231,0.01,29.39333333,2,2,1,2,2,2,1,2,2,2,2,1,1,2
5/10/01,71.29166667,57.33333333,64.50708333,222.8125,10.75,0.091428571,29.22791667,1,2,2,1,2,1,1,2,2,2,1,1,1,1
5/11/01,51.79166667,44.75,77.3575,100.3225806,9.806451613,0.02,29.4025,2,1,2,2,1,1,2,1,2,2,2,2,1,2
5/12/01,50.04166667,30.33333333,48.37666667,55.83333333,7.458333333,0,29.62208333,1,1,2,1,2,2,2,1,2,2,1,1,1,1
5/13/01,58.33333333,32.45833333,39.22916667,117.9166667,4.25,0,29.56333333,1,1,1,1,2,2,1,2,1,1,1,2,1,1
5/14/01,62.625,47.79166667,59.90833333,169.2307692,10.11538462,0.055,29.31875,1,1,1,1,1,2,1,1,2,1,1,2,1,2
5/15/01,80.5,63.25,56.92,236.25,10.41666667,0,29.01708333,2,1,1,2,2,1,2,1,1,2,1,2,1,1
5/16/01,74.375,63.70833333,70.41208333,111.4285714,6.25,0.03,28.99958333,2,1,1,1,2,1,2,2,1,2,2,1,1,1
5/17/01,75.95833333,60,60.11583333,165,6.041666667,0.04,29.09958333,2,2,1,1,2,1,1,1,2,1,2,1,1,2
5/18/01,63.91666667,43.375,48.76375,28.75,9.75,0.01,29.23291667,2,1,2,2,2,2,2,2,2,2,2,1,1,2
5/19/01,65.04166667,42.08333333,44.65416667,37.08333333,5.75,0,29.25083333,1,1,1,1,2,2,1,1,1,2,2,2,1,2
5/20/01,71.375,52.625,54.315,133.4615385,9.846153846,0,29.0175,1,1,1,1,2,2,2,2,1,1,2,2,1,1
